step,epsilon,loss,rolling_return,eval_return,fps
50000,0.81,0.0012533953413367271,1.85,5.4,594.7837229572925
100000,0.62,4.3193511373829097e-05,1.36,0.0,156.270951966842
150000,0.43000000000000005,5.926371522946283e-05,1.08,4.2,146.05868402373346
200000,0.24,0.00016899468027986586,1.25,3.0,139.4877359252905
250000,0.05,0.00012507701467256993,1.77,0.4,139.00930726211388
300000,0.05,0.0015343070263043046,3.64,6.2,125.70711306505416
350000,0.05,0.006190767511725426,8.95,8.8,131.23419651559007
400000,0.05,0.004235261585563421,14.47,15.8,127.44671950584035
450000,0.05,0.011037482880055904,13.96,13.8,140.56428978903645
500000,0.05,0.0041772122494876385,13.52,15.4,149.38995089783387
550000,0.05,0.0040980675257742405,17.41,20.6,138.04811705741594
600000,0.05,0.0034925490617752075,18.61,15.2,145.58308607295302
650000,0.05,0.0032016332261264324,22.03,28.4,147.55240995648182
700000,0.05,0.010473884642124176,20.47,16.6,151.1350233452289
750000,0.05,0.0072578685358166695,20.99,17.2,135.0394334944832
800000,0.05,0.024467885494232178,21.4,28.6,132.74304586393512
850000,0.05,0.0036674989387392998,19.3,30.8,145.2916094907577
900000,0.05,0.006909426301717758,18.52,22.2,164.32064673506738
950000,0.05,0.0030469021294265985,19.84,21.8,159.63247589451188
1000000,0.05,0.022039614617824554,20.85,16.8,159.15197176888444
1050000,0.05,0.008395960554480553,19.26,23.0,157.3817139125285
1100000,0.05,0.008099704049527645,18.01,19.8,159.33923756024225
1150000,0.05,0.010495437309145927,20.04,15.8,157.41294701214585
1200000,0.05,0.01987515017390251,19.08,17.8,157.79588309862297
1250000,0.05,0.005712696351110935,17.76,22.0,160.69173418594684
1300000,0.05,0.023934073746204376,16.6,19.8,159.83498025021908
1350000,0.05,0.011903487145900726,18.15,20.8,159.5872510027013
1400000,0.05,0.005183306988328695,19.78,13.2,161.95705067060132
1450000,0.05,0.003626655787229538,19.99,18.0,161.40921406953487
1500000,0.05,0.005678850691765547,20.21,21.0,160.0627701943592
